match_number,date,stage,group,venue,city,country,team1,team2,team1_goals,team2_goals,went_to_extra_time,went_to_penalties,penalty_winner,attendance,goal_diff,knockout
1,2026-06-11,Group Stage,A,Estadio Azteca,Mexico City,Mexico,Mexico,South Africa,2,0,False,False,,80824,2,0
2,2026-06-11,Group Stage,A,Estadio Akron,Guadalajara,Mexico,South Korea,Czechia,2,1,False,False,,44985,1,0
3,2026-06-12,Group Stage,B,BMO Field,Toronto,Canada,Canada,Bosnia and Herzegovina,1,1,False,False,,43002,0,0
4,2026-06-12,Group Stage,D,SoFi Stadium,Los Angeles,USA,USA,Paraguay,4,1,False,False,,70492,3,0
5,2026-06-13,Group Stage,C,Gillette Stadium,Boston,USA,Haiti,Scotland,0,1,False,False,,64146,-1,0
6,2026-06-13,Group Stage,D,BC Place,Vancouver,Canada,Australia,Turkiye,2,0,False,False,,52497,2,0
7,2026-06-13,Group Stage,C,MetLife Stadium,New York,USA,Brazil,Morocco,1,1,False,False,,80663,0,0
8,2026-06-13,Group Stage,B,Levi's Stadium,San Francisco Bay Area,USA,Qatar,Switzerland,1,1,False,False,,67966,0,0
9,2026-06-14,Group Stage,E,Lincoln Financial Field,Philadelphia,USA,Ivory Coast,Ecuador,1,0,False,False,,68274,1,0
10,2026-06-14,Group Stage,E,NRG Stadium,Houston,USA,Germany,Curacao,7,1,False,False,,68021,6,0
11,2026-06-14,Group Stage,F,AT&T Stadium,Dallas,USA,Netherlands,Japan,2,2,False,False,,69285,0,0
12,2026-06-14,Group Stage,F,Estadio BBVA,Monterrey,Mexico,Sweden,Tunisia,5,1,False,False,,50987,4,0
13,2026-06-15,Group Stage,H,Hard Rock Stadium,Miami,USA,Saudi Arabia,Uruguay,1,1,False,False,,62764,0,0
14,2026-06-15,Group Stage,H,Mercedes-Benz Stadium,Atlanta,USA,Spain,Cape Verde,0,0,False,False,,67640,0,0
15,2026-06-15,Group Stage,G,SoFi Stadium,Los Angeles,USA,Iran,New Zealand,2,2,False,False,,70108,0,0
16,2026-06-15,Group Stage,G,Lumen Field,Seattle,USA,Belgium,Egypt,1,1,False,False,,66775,0,0
