player_name,team,position,age,appearances,minutes_played,goals,assists,yellow_cards,red_cards,cards_per_app,goals_per_app
Matěj Kovář,Czechia,GK,26,3,270,0,0,0,0,0.0,0.0
David Zima,Czechia,DF,25,1,12,0,0,0,0,0.0,0.0
Tomáš Holeš,Czechia,DF,33,2,154,0,0,0,0,0.0,0.0
Robin Hranáč,Czechia,DF,26,3,270,0,0,0,0,0.0,0.0
Vladimír Coufal,Czechia,DF,33,3,270,0,0,0,0,0.0,0.0
Štěpán Chaloupek,Czechia,DF,23,1,90,0,0,0,0,0.0,0.0
Ladislav Krejčí,Czechia,DF,27,3,270,1,0,1,0,0.3333333333333333,0.3333333333333333
Vladimír Darida,Czechia,MF,35,1,55,0,0,0,0,0.0,0.0
Adam Hložek,Czechia,FW,23,3,157,0,0,0,0,0.0,0.0
Patrik Schick,Czechia,FW,30,3,180,0,0,0,0,0.0,0.0
Lukáš Červ,Czechia,MF,25,2,165,0,0,0,0,0.0,0.0
Mojmír Chytil,Czechia,FW,27,1,6,0,0,0,0,0.0,0.0
Pavel Šulc,Czechia,FW,25,3,189,0,0,0,0,0.0,0.0
Lukáš Provod,Czechia,MF,29,3,121,0,0,0,0,0.0,0.0
Michal Sadílek,Czechia,MF,27,3,183,1,0,0,0,0.0,0.3333333333333333
Tomáš Chorý,Czechia,FW,31,2,29,0,0,0,0,0.0,0.0
Jaroslav Zelený,Czechia,DF,33,2,125,0,0,0,0,0.0,0.0
David Douděra,Czechia,DF,28,1,90,0,0,0,0,0.0,0.0
Tomáš Souček,Czechia,MF,31,3,136,0,0,0,0,0.0,0.0
Alexandr Sojka,Czechia,MF,23,3,142,0,0,0,0,0.0,0.0
Denis Višinský,Czechia,FW,23,1,56,0,0,0,0,0.0,0.0
Raúl Rangel,Mexico,GK,26,5,438,0,0,0,0,0.0,0.0
Jorge Sánchez,Mexico,DF,28,4,349,0,0,1,0,0.25,0.0
César Montes,Mexico,DF,29,4,315,0,0,0,1,0.0,0.0
Edson Álvarez,Mexico,DF,28,4,239,0,0,1,0,0.25,0.0
Johan Vásquez,Mexico,DF,27,4,360,0,0,1,0,0.25,0.0
Érik Lira,Mexico,MF,26,4,346,0,0,0,0,0.0,0.0
Luis Romo,Mexico,MF,31,4,268,1,0,0,0,0.0,0.25
Álvaro Fidalgo,Mexico,MF,29,3,95,1,0,0,0,0.0,0.3333333333333333
Raúl Jiménez,Mexico,FW,35,4,320,3,0,0,0,0.0,0.75
Alexis Vega,Mexico,FW,28,1,11,0,0,0,0,0.0,0.0
Santiago Giménez,Mexico,FW,25,4,82,0,0,0,0,0.0,0.0
Guillermo Ochoa,Mexico,GK,40,1,12,0,0,0,0,0.0,0.0
Armando González,Mexico,FW,23,1,14,0,0,0,0,0.0,0.0
Israel Reyes,Mexico,DF,26,4,200,0,0,0,0,0.0,0.0
Julián Quiñones,Mexico,FW,29,5,414,4,1,0,0,0.0,0.8
Orbelín Pineda,Mexico,MF,30,2,29,0,0,0,0,0.0,0.0
Obed Vargas,Mexico,MF,20,3,63,0,0,0,0,0.0,0.0
Gilberto Mora,Mexico,MF,17,4,215,0,0,0,0,0.0,0.0
Mateo Chávez,Mexico,DF,22,1,78,1,0,0,0,0.0,1.0
César Huerta,Mexico,FW,25,1,6,0,0,0,0,0.0,0.0
Guillermo Martínez,Mexico,FW,31,2,72,0,0,0,0,0.0,0.0
Jesús Gallardo,Mexico,DF,31,5,372,0,0,0,0,0.0,0.0
Luis Chávez,Mexico,MF,30,1,24,0,0,0,0,0.0,0.0
Roberto Alvarado,Mexico,FW,27,5,430,0,3,0,0,0.0,0.0
Brian Gutiérrez,Mexico,MF,22,4,198,0,0,1,0,0.25,0.0
Ronwen Williams,South Africa,GK,34,4,360,0,0,0,0,0.0,0.0
Teboho Mokoena,South Africa,MF,29,3,270,1,0,2,0,0.6666666666666666,0.3333333333333333
Thalente Mbatha,South Africa,MF,26,4,259,0,0,1,0,0.25,0.0
Aubrey Modiba,South Africa,DF,30,4,347,0,0,0,0,0.0,0.0
Oswin Appollis,South Africa,FW,24,4,255,0,0,0,0,0.0,0.0
Tshepang Moremi,South Africa,FW,25,2,32,0,0,0,0,0.0,0.0
Lyle Foster,South Africa,FW,25,1,56,0,0,0,0,0.0,0.0
Relebohile Mofokeng,South Africa,FW,21,3,170,0,0,0,0,0.0,0.0
Themba Zwane,South Africa,MF,36,1,23,0,0,0,1,0.0,0.0
Thapelo Maseko,South Africa,FW,22,3,245,1,0,0,0,0.0,0.3333333333333333
Sphephelo Sithole,South Africa,MF,27,3,229,0,0,0,1,0.0,0.0
Mbekezeli Mbokazi,South Africa,DF,20,4,360,0,0,0,0,0.0,0.0
