match_id,team1,team2,goal_diff,rank_diff,age_diff,value_diff,titles_diff,host_diff,rest_diff,same_confed,knockout
1,Mexico,South Africa,2,-46,0.5999999999999979,142.6,0,1,0.0,0,0
2,South Korea,Czechia,1,-15,0.40000000000000213,-49.129999999999995,0,0,0.0,0,0
3,Canada,Bosnia and Herzegovina,0,-34,0.8999999999999986,52.25,0,1,0.0,0,0
4,USA,Paraguay,3,-24,-2.1000000000000014,231.95000000000002,0,1,0.0,0,0
5,Haiti,Scotland,-1,41,-1.6999999999999993,-114.35,0,0,0.0,0,0
6,Australia,Turkiye,2,5,-0.29999999999999716,-396.25,0,0,0.0,0,0
7,Brazil,Morocco,0,-1,2.700000000000003,480.50000000000006,5,0,0.0,0,0
8,Qatar,Switzerland,0,37,1.0999999999999979,-312.57,0,0,0.0,0,0
9,Ivory Coast,Ecuador,1,10,-0.5,153.40000000000003,0,0,0.0,0,0
10,Germany,Curacao,6,-72,-0.1999999999999993,921.22,4,0,0.0,0,0
11,Netherlands,Japan,0,-10,0.1999999999999993,483.35,0,0,0.0,0,0
12,Sweden,Tunisia,4,-7,0.9000000000000021,336.13,0,0,0.0,0,0
13,Saudi Arabia,Uruguay,0,45,-0.1999999999999993,-318.62,-2,0,0.0,0,0
14,Spain,Cape Verde,0,-65,-2.8999999999999986,1170.75,1,0,0.0,0,0
15,Iran,New Zealand,0,-65,2.1000000000000014,-2.4000000000000057,0,0,0.0,0,0
16,Belgium,Egypt,0,-20,-1.4000000000000021,431.02,0,0,0.0,0,0
17,France,Senegal,2,-12,-0.09999999999999787,1041.9,2,0,0.0,0,0
18,Iraq,Norway,-3,26,0.09999999999999787,-568.6999999999999,0,0,0.0,0,0
19,Argentina,Algeria,3,-27,1.8999999999999986,550.6,3,0,0.0,0,0
20,Austria,Jordan,2,-39,-0.1999999999999993,224.89999999999998,0,0,0.0,0,0
21,Ghana,Panama,1,39,-3.5,199.95,0,0,0.0,0,0
22,England,Croatia,2,-7,-0.8000000000000007,972.7,1,0,0.0,1,0
23,Portugal,DR Congo,0,-41,-1.0,866.1,0,0,0.0,0,0
24,Uzbekistan,Colombia,-2,37,-1.8999999999999986,-217.02000000000004,0,0,0.0,0,0
25,Czechia,South Africa,0,-20,0.7999999999999972,138.93,0,0,0.0,0,0
26,Switzerland,Bosnia and Herzegovina,3,-45,2.3000000000000007,186.1,0,0,-1.0,1,0
27,Canada,Qatar,6,-26,-2.5,178.72,0,1,1.0,0,0
28,Mexico,South Korea,1,-11,-0.6000000000000014,52.79999999999998,0,1,0.0,0,0
29,Brazil,Haiti,3,-77,1.8000000000000007,872.3000000000001,5,0,0.0,0,0
30,Scotland,Morocco,-1,35,2.6000000000000014,-277.45,0,0,0.0,0,0
31,Turkiye,Paraguay,-1,-19,-1.4000000000000021,320.04999999999995,0,0,-1.0,0,0
32,USA,Australia,2,-10,-0.40000000000000213,308.15000000000003,0,1,1.0,0,0
33,Germany,Ivory Coast,1,-23,2.3000000000000007,424.9,4,0,0.0,0,0
34,Ecuador,Curacao,0,-59,-2.0,342.91999999999996,0,0,0.0,0,0
35,Netherlands,Sweden,4,-30,0.1999999999999993,348.12000000000006,0,0,0.0,1,0
36,Tunisia,Japan,-4,27,-0.9000000000000021,-200.90000000000003,0,0,0.0,0,0
37,Uruguay,Cape Verde,0,-51,-0.8999999999999986,310.05,2,0,0.0,0,0
38,Spain,Saudi Arabia,4,-59,-1.8000000000000007,1179.32,1,0,0.0,0,0
39,Belgium,Iran,0,-11,-2.700000000000003,515.45,0,0,0.0,0,0
40,New Zealand,Egypt,-2,56,-0.8000000000000007,-82.03,0,0,0.0,0,0
41,Norway,Senegal,1,16,-0.29999999999999716,111.79999999999995,0,0,0.0,0,0
42,France,Iraq,3,-54,0.10000000000000142,1498.8,2,0,0.0,0,0
43,Argentina,Austria,2,-23,0.5,562.3,3,0,0.0,0,0
44,Jordan,Algeria,-1,35,1.5999999999999979,-236.59999999999997,0,0,0.0,0,0
45,England,Ghana,0,-69,0.3000000000000007,1125.5,1,0,0.0,0,0
46,Panama,Croatia,-1,23,2.3999999999999986,-352.75,0,0,0.0,0,0
47,Portugal,Uzbekistan,5,-45,-0.1999999999999993,924.67,0,0,0.0,0,0
48,Colombia,DR Congo,1,-33,1.0999999999999979,158.45000000000002,0,0,0.0,0,0
49,Scotland,Brazil,-3,36,-0.10000000000000142,-757.95,-5,0,0.0,0,0
50,Morocco,Haiti,2,-76,-0.9000000000000021,391.8,0,0,0.0,0,0
51,Switzerland,Canada,1,-11,1.4000000000000021,133.85,0,-1,0.0,0,0
52,Bosnia and Herzegovina,Qatar,2,8,-3.3999999999999986,126.47,0,0,0.0,0,0
53,Czechia,Mexico,-3,26,0.1999999999999993,-3.6699999999999875,0,-1,0.0,0,0
54,South Africa,South Korea,1,35,-1.1999999999999993,-89.80000000000001,0,0,0.0,0,0
55,Curacao,Ivory Coast,-2,49,2.5,-496.32000000000005,0,0,0.0,0,0
56,Ecuador,Germany,1,13,-1.8000000000000007,-578.3,-4,0,0.0,0,0
57,Japan,Sweden,0,-20,0.0,-135.22999999999996,0,0,0.0,0,0
58,Tunisia,Netherlands,-2,37,-1.1000000000000014,-684.25,0,0,0.0,0,0
59,Turkiye,USA,1,5,0.6999999999999993,88.09999999999997,0,-1,0.0,0,0
60,Paraguay,Australia,0,14,1.6999999999999993,76.2,0,0,0.0,0,0
61,Norway,France,-3,28,-0.1999999999999993,-930.1,-2,0,0.0,1,0
62,Senegal,Iraq,5,-42,0.1999999999999993,456.90000000000003,0,0,0.0,0,0
63,Egypt,Iran,0,9,-1.3000000000000007,84.43,0,0,0.0,0,0
64,New Zealand,Belgium,-4,76,0.6000000000000014,-513.05,0,0,0.0,0,0
65,Cape Verde,Saudi Arabia,0,6,1.0999999999999979,8.57,0,0,0.0,0,0
66,Uruguay,Spain,-1,14,2.0,-860.7,1,0,0.0,0,0
67,Panama,England,-2,30,3.1999999999999993,-1325.45,-1,0,0.0,0,0
68,Croatia,Ghana,1,-62,1.1000000000000014,152.8,0,0,0.0,0,0
69,Algeria,Austria,0,4,-1.3999999999999986,11.699999999999989,0,0,0.0,0,0
70,Jordan,Argentina,-2,62,-0.3000000000000007,-787.2,-3,0,0.0,0,0
71,Colombia,Portugal,0,8,2.099999999999998,-707.65,0,0,0.0,0,0
72,DR Congo,Uzbekistan,2,-4,0.8000000000000007,58.57000000000001,0,0,0.0,0,0
73,South Africa,Canada,-1,30,-0.09999999999999787,-149.4,0,-1,0.0,0,1
74,Germany,Paraguay,0,-31,-1.1999999999999993,793.35,4,0,0.0,0,1
75,Netherlands,Morocco,0,1,1.1000000000000014,306.50000000000006,0,0,-1.0,0,1
76,Brazil,Japan,1,-12,1.8000000000000007,657.35,5,0,1.0,0,1
77,France,Sweden,3,-35,-0.5,1113.92,2,0,-1.0,1,1
78,Ivory Coast,Norway,-1,2,-1.3000000000000007,-67.79999999999995,0,0,1.0,0,1
