match_id,team,opponent,goals,team_rank,opp_rank,team_value,opp_value,team_age,is_host,rest_days,knockout
1,Mexico,South Africa,2,14,60,191.85,49.25,27.7,1,5.0,0
1,South Africa,Mexico,0,60,14,49.25,191.85,27.1,0,5.0,0
2,South Korea,Czechia,2,25,40,139.05,188.18,28.3,0,5.0,0
2,Czechia,South Korea,1,40,25,188.18,139.05,27.9,0,5.0,0
3,Canada,Bosnia and Herzegovina,1,30,64,198.65,146.4,27.2,1,5.0,0
3,Bosnia and Herzegovina,Canada,1,64,30,146.4,198.65,26.3,0,5.0,0
4,USA,Paraguay,4,17,41,385.6,153.65,27.2,1,5.0,0
4,Paraguay,USA,1,41,17,153.65,385.6,29.3,0,5.0,0
5,Haiti,Scotland,0,83,42,55.9,170.25,27.8,0,5.0,0
5,Scotland,Haiti,1,42,83,170.25,55.9,29.5,0,5.0,0
6,Australia,Turkiye,2,27,22,77.45,473.7,27.6,0,5.0,0
6,Turkiye,Australia,0,22,27,473.7,77.45,27.9,0,5.0,0
7,Brazil,Morocco,1,6,7,928.2,447.7,29.6,0,5.0,0
7,Morocco,Brazil,1,7,6,447.7,928.2,26.9,0,5.0,0
8,Qatar,Switzerland,1,56,19,19.93,332.5,29.7,0,5.0,0
8,Switzerland,Qatar,1,19,56,332.5,19.93,28.6,0,5.0,0
9,Ivory Coast,Ecuador,1,33,23,522.1,368.7,25.8,0,5.0,0
9,Ecuador,Ivory Coast,0,23,33,368.7,522.1,26.3,0,5.0,0
10,Germany,Curacao,7,10,82,947.0,25.78,28.1,0,5.0,0
10,Curacao,Germany,1,82,10,25.78,947.0,28.3,0,5.0,0
11,Netherlands,Japan,2,8,18,754.2,270.85,28.0,0,5.0,0
11,Japan,Netherlands,2,18,8,270.85,754.2,27.8,0,5.0,0
12,Sweden,Tunisia,5,38,45,406.08,69.95,27.8,0,5.0,0
12,Tunisia,Sweden,1,45,38,69.95,406.08,26.9,0,5.0,0
13,Saudi Arabia,Uruguay,1,61,16,40.68,359.3,28.8,0,5.0,0
13,Uruguay,Saudi Arabia,1,16,61,359.3,40.68,29.0,0,5.0,0
14,Spain,Cape Verde,0,2,67,1220.0,49.25,27.0,0,5.0,0
14,Cape Verde,Spain,0,67,2,49.25,1220.0,29.9,0,5.0,0
15,Iran,New Zealand,2,20,85,32.05,34.45,30.6,0,5.0,0
15,New Zealand,Iran,2,85,20,34.45,32.05,28.5,0,5.0,0
16,Belgium,Egypt,1,9,29,547.5,116.48,27.9,0,5.0,0
16,Egypt,Belgium,1,29,9,116.48,547.5,29.3,0,5.0,0
17,France,Senegal,3,3,15,1520.0,478.1,27.3,0,5.0,0
17,Senegal,France,1,15,3,478.1,1520.0,27.4,0,5.0,0
18,Iraq,Norway,1,57,31,21.2,589.9,27.2,0,5.0,0
18,Norway,Iraq,4,31,57,589.9,21.2,27.1,0,5.0,0
19,Argentina,Algeria,3,1,28,807.5,256.9,29.0,0,5.0,0
19,Algeria,Argentina,0,28,1,256.9,807.5,27.1,0,5.0,0
20,Austria,Jordan,3,24,63,245.2,20.3,28.5,0,5.0,0
20,Jordan,Austria,1,63,24,20.3,245.2,28.7,0,5.0,0
21,Ghana,Panama,1,73,34,234.5,34.55,27.2,0,5.0,0
21,Panama,Ghana,0,34,73,34.55,234.5,30.7,0,5.0,0
22,England,Croatia,4,4,11,1360.0,387.3,27.5,0,5.0,0
22,Croatia,England,2,11,4,387.3,1360.0,28.3,0,5.0,0
23,Portugal,DR Congo,1,5,46,1010.0,143.9,28.3,0,5.0,0
23,DR Congo,Portugal,1,46,5,143.9,1010.0,29.3,0,5.0,0
24,Uzbekistan,Colombia,1,50,13,85.33,302.35,28.5,0,5.0,0
