team,confederation,host,fifa_rank_pretournament,prev_wc_titles,prev_wc_appearances,squad_avg_age,squad_market_value_eur_m
Mexico,CONCACAF,1,14,0,17,27.7,191.85
South Africa,CAF,0,60,0,3,27.1,49.25
Czechia,UEFA,0,40,0,9,27.9,188.18
South Korea,AFC,0,25,0,11,28.3,139.05
Switzerland,UEFA,0,19,0,12,28.6,332.5
Canada,CONCACAF,1,30,0,2,27.2,198.65
Bosnia and Herzegovina,UEFA,0,64,0,1,26.3,146.4
Qatar,AFC,0,56,0,1,29.7,19.93
Brazil,CONMEBOL,0,6,5,22,29.6,928.2
Scotland,UEFA,0,42,0,8,29.5,170.25
Morocco,CAF,0,7,0,6,26.9,447.7
Haiti,CONCACAF,0,83,0,1,27.8,55.9
USA,CONCACAF,1,17,0,11,27.2,385.6
Australia,AFC,0,27,0,6,27.6,77.45
Paraguay,CONMEBOL,0,41,0,8,29.3,153.65
Turkiye,UEFA,0,22,0,2,27.9,473.7
Germany,UEFA,0,10,4,20,28.1,947.0
Ivory Coast,CAF,0,33,0,3,25.8,522.1
Ecuador,CONMEBOL,0,23,0,4,26.3,368.7
Curacao,CONCACAF,0,82,0,0,28.3,25.78
Netherlands,UEFA,0,8,0,11,28.0,754.2
Japan,AFC,0,18,0,7,27.8,270.85
Sweden,UEFA,0,38,0,12,27.8,406.08
Tunisia,CAF,0,45,0,6,26.9,69.95
Belgium,UEFA,0,9,0,14,27.9,547.5
Egypt,CAF,0,29,0,3,29.3,116.48
Iran,AFC,0,20,0,6,30.6,32.05
New Zealand,OFC,0,85,0,2,28.5,34.45
Spain,UEFA,0,2,1,16,27.0,1220.0
Cape Verde,CAF,0,67,0,0,29.9,49.25
Uruguay,CONMEBOL,0,16,2,14,29.0,359.3
Saudi Arabia,AFC,0,61,0,6,28.8,40.68
France,UEFA,0,3,2,16,27.3,1520.0
Norway,UEFA,0,31,0,3,27.1,589.9
Senegal,CAF,0,15,0,3,27.4,478.1
Iraq,AFC,0,57,0,1,27.2,21.2
Argentina,CONMEBOL,0,1,3,18,29.0,807.5
Austria,UEFA,0,24,0,7,28.5,245.2
Algeria,CAF,0,28,0,4,27.1,256.9
Jordan,AFC,0,63,0,0,28.7,20.3
Portugal,UEFA,0,5,0,8,28.3,1010.0
Colombia,CONMEBOL,0,13,0,6,30.4,302.35
DR Congo,CAF,0,46,0,1,29.3,143.9
Uzbekistan,AFC,0,50,0,0,28.5,85.33
England,UEFA,0,4,1,16,27.5,1360.0
Croatia,UEFA,0,11,0,6,28.3,387.3
Ghana,CAF,0,73,0,4,27.2,234.5
Panama,CONCACAF,0,34,0,1,30.7,34.55
