match_number,date,stage,group,venue,city,country,team1,team2,team1_goals,team2_goals,went_to_extra_time,went_to_penalties,penalty_winner,attendance
1,2026-06-11,Group Stage,A,Estadio Azteca,Mexico City,Mexico,Mexico,South Africa,2,0,FALSE,FALSE,,80824
2,2026-06-11,Group Stage,A,Estadio Akron,Guadalajara,Mexico,South Korea,Czechia,2,1,FALSE,FALSE,,44985
3,2026-06-12,Group Stage,B,BMO Field,Toronto,Canada,Canada,Bosnia and Herzegovina,1,1,FALSE,FALSE,,43002
4,2026-06-12,Group Stage,D,SoFi Stadium,Los Angeles,USA,USA,Paraguay,4,1,FALSE,FALSE,,70492
5,2026-06-13,Group Stage,C,Gillette Stadium,Boston,USA,Haiti,Scotland,0,1,FALSE,FALSE,,64146
6,2026-06-13,Group Stage,D,BC Place,Vancouver,Canada,Australia,Turkiye,2,0,FALSE,FALSE,,52497
7,2026-06-13,Group Stage,C,MetLife Stadium,New York,USA,Brazil,Morocco,1,1,FALSE,FALSE,,80663
8,2026-06-13,Group Stage,B,Levi's Stadium,San Francisco Bay Area,USA,Qatar,Switzerland,1,1,FALSE,FALSE,,67966
9,2026-06-14,Group Stage,E,Lincoln Financial Field,Philadelphia,USA,Ivory Coast,Ecuador,1,0,FALSE,FALSE,,68274
10,2026-06-14,Group Stage,E,NRG Stadium,Houston,USA,Germany,Curacao,7,1,FALSE,FALSE,,68021
11,2026-06-14,Group Stage,F,AT&T Stadium,Dallas,USA,Netherlands,Japan,2,2,FALSE,FALSE,,69285
12,2026-06-14,Group Stage,F,Estadio BBVA,Monterrey,Mexico,Sweden,Tunisia,5,1,FALSE,FALSE,,50987
13,2026-06-15,Group Stage,H,Hard Rock Stadium,Miami,USA,Saudi Arabia,Uruguay,1,1,FALSE,FALSE,,62764
14,2026-06-15,Group Stage,H,Mercedes-Benz Stadium,Atlanta,USA,Spain,Cape Verde,0,0,FALSE,FALSE,,67640
15,2026-06-15,Group Stage,G,SoFi Stadium,Los Angeles,USA,Iran,New Zealand,2,2,FALSE,FALSE,,70108
16,2026-06-15,Group Stage,G,Lumen Field,Seattle,USA,Belgium,Egypt,1,1,FALSE,FALSE,,66775
17,2026-06-16,Group Stage,I,MetLife Stadium,New York,USA,France,Senegal,3,1,FALSE,FALSE,,80545
18,2026-06-16,Group Stage,I,Gillette Stadium,Boston,USA,Iraq,Norway,1,4,FALSE,FALSE,,63106
19,2026-06-16,Group Stage,J,Arrowhead Stadium,Kansas City,USA,Argentina,Algeria,3,0,FALSE,FALSE,,69045
20,2026-06-16,Group Stage,J,Levi's Stadium,San Francisco Bay Area,USA,Austria,Jordan,3,1,FALSE,FALSE,,68527
21,2026-06-17,Group Stage,L,BMO Field,Toronto,Canada,Ghana,Panama,1,0,FALSE,FALSE,,42942
22,2026-06-17,Group Stage,L,AT&T Stadium,Dallas,USA,England,Croatia,4,2,FALSE,FALSE,,70389
23,2026-06-17,Group Stage,K,NRG Stadium,Houston,USA,Portugal,DR Congo,1,1,FALSE,FALSE,,68777
24,2026-06-17,Group Stage,K,Estadio Azteca,Mexico City,Mexico,Uzbekistan,Colombia,1,3,FALSE,FALSE,,80824
25,2026-06-18,Group Stage,A,Mercedes-Benz Stadium,Atlanta,USA,Czechia,South Africa,1,1,FALSE,FALSE,,67442
26,2026-06-18,Group Stage,B,SoFi Stadium,Los Angeles,USA,Switzerland,Bosnia and Herzegovina,4,1,FALSE,FALSE,,70026
27,2026-06-18,Group Stage,B,BC Place,Vancouver,Canada,Canada,Qatar,6,0,FALSE,FALSE,,52497
28,2026-06-18,Group Stage,A,Estadio Akron,Guadalajara,Mexico,Mexico,South Korea,1,0,FALSE,FALSE,,45522
29,2026-06-19,Group Stage,C,Lincoln Financial Field,Philadelphia,USA,Brazil,Haiti,3,0,FALSE,FALSE,,68324
30,2026-06-19,Group Stage,C,Gillette Stadium,Boston,USA,Scotland,Morocco,0,1,FALSE,FALSE,,64146
31,2026-06-19,Group Stage,D,Levi's Stadium,San Francisco Bay Area,USA,Turkiye,Paraguay,0,1,FALSE,FALSE,,68827
32,2026-06-19,Group Stage,D,Lumen Field,Seattle,USA,USA,Australia,2,0,FALSE,FALSE,,66925
33,2026-06-20,Group Stage,E,BMO Field,Toronto,Canada,Germany,Ivory Coast,2,1,FALSE,FALSE,,43036
34,2026-06-20,Group Stage,E,Arrowhead Stadium,Kansas City,USA,Ecuador,Curacao,0,0,FALSE,FALSE,,68598
35,2026-06-20,Group Stage,F,NRG Stadium,Houston,USA,Netherlands,Sweden,5,1,FALSE,FALSE,,68777
36,2026-06-20,Group Stage,F,Estadio BBVA,Monterrey,Mexico,Tunisia,Japan,0,4,FALSE,FALSE,,51243
37,2026-06-21,Group Stage,H,Hard Rock Stadium,Miami,USA,Uruguay,Cape Verde,2,2,FALSE,FALSE,,64003
38,2026-06-21,Group Stage,H,Mercedes-Benz Stadium,Atlanta,USA,Spain,Saudi Arabia,4,0,FALSE,FALSE,,68239
39,2026-06-21,Group Stage,G,SoFi Stadium,Los Angeles,USA,Belgium,Iran,0,0,FALSE,FALSE,,70317
40,2026-06-21,Group Stage,G,BC Place,Vancouver,Canada,New Zealand,Egypt,1,3,FALSE,FALSE,,52497
41,2026-06-22,Group Stage,I,MetLife Stadium,New York,USA,Norway,Senegal,3,2,FALSE,FALSE,,80663
42,2026-06-22,Group Stage,I,Lincoln Financial Field,Philadelphia,USA,France,Iraq,3,0,FALSE,FALSE,,68324
43,2026-06-22,Group Stage,J,AT&T Stadium,Dallas,USA,Argentina,Austria,2,0,FALSE,FALSE,,70649
44,2026-06-22,Group Stage,J,Levi's Stadium,San Francisco Bay Area,USA,Jordan,Algeria,1,2,FALSE,FALSE,,68371
45,2026-06-23,Group Stage,L,Gillette Stadium,Boston,USA,England,Ghana,0,0,FALSE,FALSE,,63983
46,2026-06-23,Group Stage,L,BMO Field,Toronto,Canada,Panama,Croatia,0,1,FALSE,FALSE,,43036
47,2026-06-23,Group Stage,K,NRG Stadium,Houston,USA,Portugal,Uzbekistan,5,0,FALSE,FALSE,,68777
48,2026-06-23,Group Stage,K,Estadio Akron,Guadalajara,Mexico,Colombia,DR Congo,1,0,FALSE,FALSE,,45358
49,2026-06-24,Group Stage,C,Hard Rock Stadium,Miami,USA,Scotland,Brazil,0,3,FALSE,FALSE,,64478
50,2026-06-24,Group Stage,C,Mercedes-Benz Stadium,Atlanta,USA,Morocco,Haiti,4,2,FALSE,FALSE,,68239
51,2026-06-24,Group Stage,B,BC Place,Vancouver,Canada,Switzerland,Canada,2,1,FALSE,FALSE,,52497
52,2026-06-24,Group Stage,B,Lumen Field,Seattle,USA,Bosnia and Herzegovina,Qatar,3,1,FALSE,FALSE,,66925
53,2026-06-24,Group Stage,A,Estadio Azteca,Mexico City,Mexico,Czechia,Mexico,0,3,FALSE,FALSE,,80824
54,2026-06-24,Group Stage,A,Estadio BBVA,Monterrey,Mexico,South Africa,South Korea,1,0,FALSE,FALSE,,51243
55,2026-06-25,Group Stage,E,Lincoln Financial Field,Philadelphia,USA,Curacao,Ivory Coast,0,2,FALSE,FALSE,,68324
56,2026-06-25,Group Stage,E,MetLife Stadium,New York,USA,Ecuador,Germany,2,1,FALSE,FALSE,,80663
57,2026-06-25,Group Stage,F,AT&T Stadium,Dallas,USA,Japan,Sweden,1,1,FALSE,FALSE,,70137
58,2026-06-25,Group Stage,F,Arrowhead Stadium,Kansas City,USA,Tunisia,Netherlands,1,3,FALSE,FALSE,,68391
59,2026-06-25,Group Stage,D,SoFi Stadium,Los Angeles,USA,Turkiye,USA,3,2,FALSE,FALSE,,70492
60,2026-06-25,Group Stage,D,Levi's Stadium,San Francisco Bay Area,USA,Paraguay,Australia,0,0,FALSE,FALSE,,68827
61,2026-06-26,Group Stage,I,Gillette Stadium,Boston,USA,Norway,France,1,4,FALSE,FALSE,,64146
62,2026-06-26,Group Stage,I,BMO Field,Toronto,Canada,Senegal,Iraq,5,0,FALSE,FALSE,,43036
63,2026-06-26,Group Stage,G,Lumen Field,Seattle,USA,Egypt,Iran,1,1,FALSE,FALSE,,66925
64,2026-06-26,Group Stage,G,BC Place,Vancouver,Canada,New Zealand,Belgium,1,5,FALSE,FALSE,,52497
65,2026-06-26,Group Stage,H,NRG Stadium,Houston,USA,Cape Verde,Saudi Arabia,0,0,FALSE,FALSE,,68278
66,2026-06-26,Group Stage,H,Estadio Akron,Guadalajara,Mexico,Uruguay,Spain,0,1,FALSE,FALSE,,45065
67,2026-06-27,Group Stage,L,MetLife Stadium,New York,USA,Panama,England,0,2,FALSE,FALSE,,80663
68,2026-06-27,Group Stage,L,Lincoln Financial Field,Philadelphia,USA,Croatia,Ghana,2,1,FALSE,FALSE,,68324
69,2026-06-27,Group Stage,J,Arrowhead Stadium,Kansas City,USA,Algeria,Austria,3,3,FALSE,FALSE,,69045
70,2026-06-27,Group Stage,J,AT&T Stadium,Dallas,USA,Jordan,Argentina,1,3,FALSE,FALSE,,70649
71,2026-06-27,Group Stage,K,Hard Rock Stadium,Miami,USA,Colombia,Portugal,0,0,FALSE,FALSE,,64478
72,2026-06-27,Group Stage,K,Mercedes-Benz Stadium,Atlanta,USA,DR Congo,Uzbekistan,3,1,FALSE,FALSE,,68239
73,2026-06-28,Round of 32,,SoFi Stadium,Los Angeles,USA,South Africa,Canada,0,1,FALSE,FALSE,,69237
74,2026-06-29,Round of 32,,Gillette Stadium,Boston,USA,Germany,Paraguay,1,1,TRUE,TRUE,Paraguay,63945
75,2026-06-29,Round of 32,,Estadio BBVA,Monterrey,Mexico,Netherlands,Morocco,1,1,TRUE,TRUE,Morocco,51243
76,2026-06-29,Round of 32,,NRG Stadium,Houston,USA,Brazil,Japan,2,1,FALSE,FALSE,,68777
77,2026-06-30,Round of 32,,MetLife Stadium,New York,USA,France,Sweden,3,0,FALSE,FALSE,,80663
78,2026-06-30,Round of 32,,AT&T Stadium,Dallas,USA,Ivory Coast,Norway,1,2,FALSE,FALSE,,69665
79,2026-06-30,Round of 32,,Estadio Azteca,Mexico City,Mexico,Mexico,Ecuador,2,0,FALSE,FALSE,,80824
80,2026-07-01,Round of 32,,Mercedes-Benz Stadium,Atlanta,USA,England,DR Congo,2,1,FALSE,FALSE,,68239
81,2026-07-01,Round of 32,,Levi's Stadium,San Francisco Bay Area,USA,USA,Bosnia and Herzegovina,2,0,FALSE,FALSE,,68827
82,2026-07-01,Round of 32,,Lumen Field,Seattle,USA,Belgium,Senegal,3,2,TRUE,FALSE,,66925
83,2026-07-02,Round of 32,,BMO Field,Toronto,Canada,Portugal,Croatia,2,1,FALSE,FALSE,,43036
84,2026-07-02,Round of 32,,SoFi Stadium,Los Angeles,USA,Spain,Austria,3,0,FALSE,FALSE,,70492
85,2026-07-02,Round of 32,,BC Place,Vancouver,Canada,Switzerland,Algeria,2,0,FALSE,FALSE,,52497
86,2026-07-03,Round of 32,,Hard Rock Stadium,Miami,USA,Argentina,Cape Verde,3,2,TRUE,FALSE,,64478
87,2026-07-03,Round of 32,,Arrowhead Stadium,Kansas City,USA,Colombia,Ghana,1,0,FALSE,FALSE,,69045
