team,confederation,host,fifa_rank_pretournament,prev_wc_titles,prev_wc_appearances,squad_avg_age,squad_market_value_eur_m
Mexico,CONCACAF,TRUE,14,0,17,27.7,191.85
South Africa,CAF,FALSE,60,0,3,27.1,49.25
Czechia,UEFA,FALSE,40,0,9,27.9,188.18
South Korea,AFC,FALSE,25,0,11,28.3,139.05
Switzerland,UEFA,FALSE,19,0,12,28.6,332.5
Canada,CONCACAF,TRUE,30,0,2,27.2,198.65
Bosnia and Herzegovina,UEFA,FALSE,64,0,1,26.3,146.4
Qatar,AFC,FALSE,56,0,1,29.7,19.93
Brazil,CONMEBOL,FALSE,6,5,22,29.6,928.2
Scotland,UEFA,FALSE,42,0,8,29.5,170.25
Morocco,CAF,FALSE,7,0,6,26.9,447.7
Haiti,CONCACAF,FALSE,83,0,1,27.8,55.9
USA,CONCACAF,TRUE,17,0,11,27.2,385.6
Australia,AFC,FALSE,27,0,6,27.6,77.45
Paraguay,CONMEBOL,FALSE,41,0,8,29.3,153.65
Turkiye,UEFA,FALSE,22,0,2,27.9,473.7
Germany,UEFA,FALSE,10,4,20,28.1,947
Ivory Coast,CAF,FALSE,33,0,3,25.8,522.1
Ecuador,CONMEBOL,FALSE,23,0,4,26.3,368.7
Curacao,CONCACAF,FALSE,82,0,0,28.3,25.78
Netherlands,UEFA,FALSE,8,0,11,28.0,754.2
Japan,AFC,FALSE,18,0,7,27.8,270.85
Sweden,UEFA,FALSE,38,0,12,27.8,406.08
Tunisia,CAF,FALSE,45,0,6,26.9,69.95
Belgium,UEFA,FALSE,9,0,14,27.9,547.5
Egypt,CAF,FALSE,29,0,3,29.3,116.48
Iran,AFC,FALSE,20,0,6,30.6,32.05
New Zealand,OFC,FALSE,85,0,2,28.5,34.45
Spain,UEFA,FALSE,2,1,16,27.0,1220
Cape Verde,CAF,FALSE,67,0,0,29.9,49.25
Uruguay,CONMEBOL,FALSE,16,2,14,29.0,359.3
Saudi Arabia,AFC,FALSE,61,0,6,28.8,40.68
France,UEFA,FALSE,3,2,16,27.3,1520
Norway,UEFA,FALSE,31,0,3,27.1,589.9
Senegal,CAF,FALSE,15,0,3,27.4,478.1
Iraq,AFC,FALSE,57,0,1,27.2,21.2
Argentina,CONMEBOL,FALSE,1,3,18,29.0,807.5
Austria,UEFA,FALSE,24,0,7,28.5,245.2
Algeria,CAF,FALSE,28,0,4,27.1,256.9
Jordan,AFC,FALSE,63,0,0,28.7,20.3
Portugal,UEFA,FALSE,5,0,8,28.3,1010
Colombia,CONMEBOL,FALSE,13,0,6,30.4,302.35
DR Congo,CAF,FALSE,46,0,1,29.3,143.9
Uzbekistan,AFC,FALSE,50,0,0,28.5,85.33
England,UEFA,FALSE,4,1,16,27.5,1360
Croatia,UEFA,FALSE,11,0,6,28.3,387.3
Ghana,CAF,FALSE,73,0,4,27.2,234.5
Panama,CONCACAF,FALSE,34,0,1,30.7,34.55
